method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
62,org_apache_activemq_broker_TransportConnectionStateRegister_lookupConnectionState,1,1,1,0,0,0,0
63,org_apache_activemq_broker_TransportConnectionState_getReferenceCounter,1,0,3,0,0,0,0
64,org_apache_activemq_broker_MarshallingBrokerTest_suite,1,0,3,0,1,1,1
65,org_apache_activemq_broker_RedeliveryRestartWithExceptionTest_configureBroker,1,2,9,0,5,3,3
66,org_apache_activemq_broker_StubConnection_StubConnection,3,2,25,2,4,4,1
67,org_apache_activemq_broker_StubConnection_getTransport,1,0,3,0,0,0,0
68,org_apache_activemq_broker_RedeliveryRestartWithExceptionTest_createRestartedBroker,1,0,5,1,0,0,0
69,org_apache_activemq_broker_DoubleSubscriptionTest_suite,1,0,3,0,1,1,1
70,org_apache_activemq_broker_TopicSubscriptionTest_testOneProducerTwoConsumersLargeMessagesOnePrefetch,1,0,10,0,3,2,2
71,org_apache_activemq_broker_jmx_BrokerMBeanSupport_createDestinationName,1,2,5,3,0,0,0
72,org_apache_activemq_broker_jmx_AbortSlowConsumerStrategyView_abortConnection,1,1,3,2,5,5,1
73,org_apache_activemq_broker_jmx_BrokerMBeanSupport_createConnectorName,1,3,6,1,1,1,1
74,org_apache_activemq_broker_jmx_AbortSlowConsumerStrategyViewMBean_abortConsumer,1,1,1,0,0,0,0
75,org_apache_activemq_broker_jmx_BrokerViewMBean_getDurableTopicSubscribers,1,0,1,0,0,0,0
76,org_apache_activemq_broker_jmx_BrokerViewMBean_getBrokerName,1,0,4,0,0,0,0
77,org_apache_activemq_broker_jmx_BrokerView_enableStatistics,1,0,3,1,2,2,1
78,org_apache_activemq_broker_jmx_DestinationView_getBlockedSends,1,0,3,0,3,3,1
79,org_apache_activemq_transport_amqp_AmqpProtocolException_AmqpProtocolException,1,2,6,5,0,0,0
80,org_apache_activemq_broker_jmx_ManagedRegionBroker_registerSubscription,4,2,44,2,26,14,6
81,org_apache_activemq_broker_jmx_ManagedRegionBroker_unregisterSubscription,4,2,27,1,21,10,5
82,org_apache_activemq_broker_jmx_ManagementContext_sanitizeString,2,1,14,0,0,0,0
83,org_apache_activemq_broker_jmx_QueueViewMBean_getCursorMemoryUsage,1,0,4,0,0,0,0
84,org_apache_activemq_broker_jmx_TransportConnectorMBeanTest_doVerifyClientIdNetwork,1,1,21,1,9,4,6
85,org_apache_activemq_broker_jmx_MBeanOperationTimeoutTest_sendMessages,2,1,17,0,1,1,1
86,org_apache_activemq_broker_jmx_TopicSubscriptionViewMBean_setMaximumPendingQueueSize,1,1,1,0,0,0,0
87,org_apache_activemq_broker_jmx_SubscriptionViewMBean_getUserName,1,0,6,0,0,0,0
88,org_apache_activemq_broker_region_AbstractRegion_getDestinationMap,1,0,3,0,0,0,0
89,org_apache_activemq_broker_region_BaseDestination_setBlockedProducerWarningInterval,1,1,10,0,0,0,0
90,org_apache_activemq_broker_region_AbstractSubscription_setPrefetchSize,1,1,3,0,1,1,1
91,org_apache_activemq_broker_region_BaseDestination_isAdvisoryForSlowConsumers,1,0,6,0,0,0,0
92,org_apache_activemq_broker_region_BaseDestination_setUseCache,1,1,3,0,0,0,0
93,org_apache_activemq_broker_region_DurableTopicSubscription_add,5,2,6,1,12,9,2
94,org_apache_activemq_broker_region_DestinationStatistics_getDequeues,1,0,3,0,0,0,0
95,org_apache_activemq_broker_region_DestinationStatistics_getBlockedSends,1,0,3,0,0,0,0
96,org_apache_activemq_broker_region_PrefetchSubscription_getPendingQueueSize,1,0,3,0,1,1,1
97,org_apache_activemq_broker_region_Queue_setUseConsumerPriority,1,1,3,0,0,0,0
98,org_apache_activemq_broker_region_Queue_registerCallbackForNotFullNotification,2,0,5,0,1,1,1
99,org_apache_activemq_broker_region_PrefetchSubscription_setMaxProducersToAudit,2,1,6,0,1,1,1
100,org_apache_activemq_broker_region_Queue_doDispatch,9,1,34,2,6,3,4
101,org_apache_activemq_broker_region_Queue_getConsumerMessageCountBeforeFull,3,0,17,0,2,1,2
102,org_apache_activemq_broker_region_Queue_removeMessage,1,2,38,6,18,12,6
103,org_apache_activemq_broker_region_QueueMessageReference_lock,1,1,1,0,0,0,0
104,org_apache_activemq_broker_region_Topic_canOptimizeOutPersistence,1,0,3,0,0,0,0
105,org_apache_activemq_broker_region_SubscriptionStatistics_setEnabled,1,1,8,0,1,1,1
106,org_apache_activemq_broker_SslContext_SslContext,3,3,9,3,0,0,0
107,org_apache_activemq_broker_region_QueuePurgeTest_testPurgeLargeQueue,1,0,34,4,4,2,2
108,org_apache_activemq_broker_region_cursors_AbstractPendingMessageCursor_recordUniqueId,2,1,11,0,1,1,1
109,org_apache_activemq_broker_region_cursors_PendingList_get,1,1,1,0,0,0,0
110,org_apache_activemq_broker_region_cursors_FilePendingMessageCursor_isDiskListEmpty,1,0,3,0,1,1,1
111,org_apache_activemq_broker_region_cursors_AbstractStoreCursor_messageSize,1,0,3,1,0,0,0
112,org_apache_activemq_broker_region_cursors_AbstractStoreCursor_resetBatch,1,0,1,0,0,0,0
113,org_apache_activemq_broker_region_cursors_PendingMessageCursor_isEmpty,1,0,6,0,0,0,0
114,org_apache_activemq_broker_region_cursors_PrioritizedPendingList_getList,1,1,3,1,0,0,0
115,org_apache_activemq_broker_region_cursors_AbstractPendingMessageCursorTest_AbstractPendingMessageCursorTest,1,1,7,0,0,0,0
116,org_apache_activemq_broker_region_cursors_KahaDBPendingMessageCursorTest_KahaDBPendingMessageCursorTest,1,2,7,0,1,1,1
117,org_apache_activemq_broker_region_policy_AbortSlowAckConsumerStrategy_getMaxTimeSinceLastAck,1,0,7,0,0,0,0
118,org_apache_activemq_broker_region_policy_DeadLetterStrategy_setProcessExpired,1,1,4,0,0,0,0
119,org_apache_activemq_broker_region_policy_PolicyEntry_getMessageGroupMapFactory,2,0,11,1,1,1,1
120,org_apache_activemq_broker_region_policy_SimpleDispatchSelector_SimpleDispatchSelector,1,1,6,0,0,0,0
121,org_apache_activemq_broker_region_policy_PolicyEntry_configure,1,3,6,32,60,18,12
122,org_apache_activemq_broker_region_virtual_VirtualDestination_interceptMappedDestination,1,1,4,0,0,0,0
123,org_apache_activemq_broker_region_virtual_CompositeDestination_isForwardOnly,1,0,3,0,0,0,0
124,org_apache_activemq_broker_region_virtual_CompositeDestinationFilter_doForward,1,4,8,0,7,3,5
125,org_apache_activemq_broker_region_policy_PolicyEntry_isReduceMemoryFootprint,1,0,3,0,0,0,0
126,org_apache_activemq_broker_scheduler_JobScheduler_getName,1,0,5,0,0,0,0
127,org_apache_activemq_broker_scheduler_JobScheduler_removeAllJobs,1,0,7,0,0,0,0
128,org_apache_activemq_broker_scheduler_JobScheduler_schedule,1,6,11,0,0,0,0
129,org_apache_activemq_broker_scheduler_memory_InMemoryJob_getPayload,1,0,3,0,0,0,0
130,org_apache_activemq_broker_scheduler_KahaDBSchedulerMissingJournalLogsTest_createScheduler,1,0,6,0,2,1,2
131,org_apache_activemq_broker_view_ConnectionDotFileInterceptor_printProducers,3,6,32,2,6,2,4
132,org_apache_activemq_filter_ComparisonExpression_evaluate,3,1,11,1,1,1,1
133,org_apache_activemq_filter_PropertyExpression_evaluate,3,1,11,0,7,3,3
134,org_apache_activemq_filter_DestinationMapTest_assertMapValue,1,7,18,7,1,1,1
135,org_apache_activemq_usage_Usage_waitForSpace,1,1,34,4,0,0,0
136,org_apache_activemq_memory_list_DestinationBasedMessageList_DestinationBasedMessageList,1,1,3,1,1,1,1
137,org_apache_activemq_network_DemandForwardingBridgeSupport_isProxyNSConsumerBrokerPath,1,1,3,0,1,1,1
138,org_apache_activemq_network_DiscoveryNetworkConnector_DiscoveryNetworkConnector,1,1,3,1,0,0,0
139,org_apache_activemq_network_NetworkBridgeConfiguration_setNetworkTTL,1,1,8,2,0,0,0
140,org_apache_activemq_network_NetworkBridgeConfiguration_isSyncDurableSubs,1,0,3,0,0,0,0
141,org_apache_activemq_network_BrokerNetworkWithStuckMessagesTest_waitForBridgeFormation,3,0,12,0,2,2,1
142,org_apache_activemq_network_BrokerNetworkWithStuckMessagesTest_createConsumerInfo,1,2,8,0,5,1,5
143,org_apache_activemq_network_CompressionOverNetworkTest_getRemoteBrokerURI,1,0,3,0,0,0,0
144,org_apache_activemq_network_CompressionOverNetworkTest_getLocalBrokerURI,1,0,3,0,0,0,0
145,org_apache_activemq_network_DynamicNetworkTestSupport_assertNCDurableSubsCount,1,3,8,0,1,1,1
146,org_apache_activemq_network_jms_OutboundTopicBridge_OutboundTopicBridge,1,1,5,0,0,0,0
147,org_apache_activemq_network_jms_OutboundQueueBridge_OutboundQueueBridge,1,1,5,0,0,0,0
148,org_apache_activemq_network_jms_SimpleJmsTopicConnector_setInboundTopicBridges,1,1,6,0,0,0,0
149,org_apache_activemq_network_jms_TopicBridgeStandaloneReconnectTest_sendMessageToForeignBroker,1,1,18,0,1,1,1
150,org_apache_activemq_plugin_SubQueueSelectorCacheBroker_deleteSelectorForDestination,2,2,7,0,0,0,0
151,org_apache_activemq_plugin_SubQueueSelectorCacheBroker_unregisterMBeans,2,0,11,0,4,3,2
152,org_apache_activemq_network_jms_TopicOutboundBridgeReconnectTest_startProducerBroker,2,0,6,1,1,1,1
153,org_apache_activemq_util_URISupport_stripPrefix,2,2,12,0,0,0,0
154,org_apache_activemq_plugin_DefaultConfigurationProcessor_filter,5,2,15,2,0,0,0
155,org_apache_activemq_proxy_ProxyConnectorTest_suite,1,0,3,0,1,1,1
156,org_apache_activemq_security_AbstractAuthenticationBroker_removeConnection,2,3,6,0,3,2,2
157,org_apache_activemq_security_AuthorizationBroker_addDestinationRole,1,3,2,0,0,0,0
158,org_apache_activemq_proxy_ProxyFailoverTest_startRemoteBroker,2,1,10,0,5,1,5
159,org_apache_activemq_security_DefaultAuthorizationMap_getTempDestinationReadACLs,2,0,10,0,1,1,1
160,org_apache_activemq_security_JaasCertificateSecurityContext_JaasCertificateSecurityContext,1,3,5,0,1,1,1
161,org_apache_activemq_security_LDAPAuthorizationMap_setConnectionURL,1,1,3,0,0,0,0
162,org_apache_activemq_security_SimpleCachedLDAPAuthorizationMap_getTempDestinationAdminACLs,1,0,9,2,1,1,1
163,org_apache_activemq_security_SimpleCachedLDAPAuthorizationMap_setConnectionURL,1,1,3,0,0,0,0
164,org_apache_activemq_security_AbstractCachedLDAPAuthorizationMapLegacyTest_setup,1,0,4,2,0,0,0
165,org_apache_activemq_store_MessageStore_asyncAddQueueMessage,1,3,10,0,0,0,0
166,org_apache_activemq_store_PersistenceAdapter_allowIOResumption,1,0,1,0,0,0,0
167,org_apache_activemq_store_PListTestSupport_doTestRemove,3,1,16,1,5,3,3
168,org_apache_activemq_store_StoreOrderTest_setPersistentAdapter,1,1,1,0,0,0,0
169,org_apache_activemq_transport_auto_AutoTransportUtils_parseProtocols,2,1,8,0,0,0,0
170,org_apache_activemq_transport_nio_NIOSSLTransport_processCommand,13,1,61,1,3,3,1
171,org_apache_activemq_transport_nio_SelectorManager_newRejectionHandler,1,0,3,1,0,0,0
172,org_apache_activemq_transport_auto_nio_AutoNioTransportFactory_createTcpTransportServer,4,2,20,0,0,0,0
173,org_apache_activemq_transport_nio_SelectorWorker_processIoTasks,2,0,11,0,0,0,0
174,org_apache_activemq_transport_InactivityMonitor_processInboundWireFormatInfo,2,1,14,1,2,1,2
175,org_apache_activemq_transport_AbstractInactivityMonitor_onException,3,1,9,1,1,1,1
176,org_apache_activemq_transport_Transport_setTransportListener,1,1,5,0,0,0,0
177,org_apache_activemq_transport_ResponseCorrelator_ResponseCorrelator,1,1,4,1,1,1,1
178,org_apache_activemq_transport_Transport_getPeerCertificates,1,0,4,0,0,0,0
179,org_apache_activemq_transport_TransportServerSupport_setTransportOption,1,1,3,0,0,0,0
180,org_apache_activemq_transport_TransportServer_getConnectURI,1,0,1,0,0,0,0
181,org_apache_activemq_transport_SocketConnectorFactory_getTransportOptions,1,0,3,0,0,0,0
182,org_apache_activemq_transport_TopicClusterTest_createMessageConsumer,1,2,3,0,0,0,0
183,org_apache_activemq_transport_WebTransportServerSupport_setHttpOptions,2,1,5,0,1,1,1
184,org_apache_activemq_usage_TempUsage_TempUsage,1,2,5,2,3,1,3
185,org_apache_activemq_usage_SystemUsage_isSendFailIfNoSpace,2,0,8,1,0,0,0
186,org_apache_activemq_usage_SystemUsage_setStoreUsage,4,1,13,0,6,2,4
187,org_apache_activemq_usage_PercentLimitUsage_updateLimitBasedOnPercent,1,0,1,0,0,0,0
188,org_apache_activemq_usage_MemoryUsage_waitForSpace,5,1,35,2,2,1,2
189,org_apache_activemq_usage_Usage_isFull,2,1,13,3,0,0,0
190,org_apache_activemq_usage_Usage_addChild,2,1,6,1,0,0,0
191,org_apache_activemq_util_IOHelper_getFiles,4,3,15,2,0,0,0
192,org_apache_activemq_util_LockFile_LockFile,1,2,4,0,0,0,0
193,org_apache_activemq_util_ByteSequence_ByteSequence,1,1,5,0,0,0,0
194,org_apache_activemq_util_ConsumerThread_setBatchSize,1,1,3,0,0,0,0
195,org_apache_activemq_util_DataByteArrayOutputStream_writeDouble,1,1,3,1,0,0,0
196,org_apache_activemq_util_IndentPrinter_decrementIndent,1,0,3,0,0,0,0
197,org_apache_activemq_util_DataByteArrayInputStream_restart,1,1,10,1,2,1,2
198,org_apache_activemq_util_ClassLoadingAwareObjectInputStream_getTrustedPackages,1,0,3,0,0,0,0
199,org_apache_activemq_util_MarshallingSupport_unmarshalPrimitiveMap,1,2,23,4,0,0,0
200,org_apache_activemq_util_MarshallingSupport_unmarshalPrimitiveList,2,2,8,2,0,0,0
201,org_apache_activemq_util_MarshallingSupport_marshalByteArray,1,2,5,1,0,0,0
202,org_apache_activemq_util_IOExceptionSupport_create,1,2,5,0,0,0,0
203,org_apache_activemq_util_MarshallingSupport_unmarshalPrimitive,17,2,64,5,0,0,0
204,org_apache_activemq_util_TypeConversionSupport_convert,1,1,18,1,0,0,0
205,org_apache_activemq_util_GenerateJDBCStatements_returnStatement,1,1,3,0,0,0,0
206,org_apache_activemq_util_LFUCache_findNextLowestFrequency,3,0,8,0,0,0,0
207,org_apache_activemq_JmsTransactionTestSupport_rollbackTx,1,0,3,0,0,0,0
208,org_apache_activemq_ActiveMQConnection_getResourceManagerId,3,0,14,2,4,4,1
209,org_apache_activemq_ActiveMQConnection_setAlwaysSyncSend,1,1,7,0,0,0,0
210,org_apache_activemq_ActiveMQConnection_createConnectionConsumer,1,4,16,7,11,5,7
211,org_apache_activemq_ActiveMQConnection_removeSession,1,1,8,1,0,0,0
212,org_apache_activemq_ActiveMQConnection_setRmIdFromConnectionId,1,1,3,0,0,0,0
213,org_apache_activemq_ActiveMQConnection_setCopyMessageOnSend,1,1,9,0,0,0,0
214,org_apache_activemq_ActiveMQConnectionFactory_ActiveMQConnectionFactory,1,3,5,10,0,0,0
215,org_apache_activemq_ActiveMQConnectionFactory_createConnection,1,0,6,2,0,0,0
216,org_apache_activemq_ActiveMQQueueReceiver_ActiveMQQueueReceiver,1,7,13,0,1,1,1
217,org_apache_activemq_ActiveMQPrefetchPolicy_ActiveMQPrefetchPolicy,1,0,10,0,0,0,0
218,org_apache_activemq_ActiveMQSession_createSubscriber,2,3,41,4,6,5,2
219,org_apache_activemq_ActiveMQSession_createConsumer,1,2,53,8,7,5,3
220,org_apache_activemq_ActiveMQSessionExecutor_ActiveMQSessionExecutor,2,1,9,0,3,3,1
221,org_apache_activemq_ActiveMQSessionExecutor_close,1,0,3,0,1,1,1
222,org_apache_activemq_ActiveMQSessionExecutor_start,3,0,8,2,2,1,2
223,org_apache_activemq_ActiveMQXAConnectionFactory_ActiveMQXAConnectionFactory,1,1,3,0,4,1,4
224,org_apache_activemq_ActiveMQXASslConnectionFactory_ActiveMQXASslConnectionFactory,1,0,3,0,2,1,2
225,org_apache_activemq_AbstractAuthorizationTest_assertAllowed,1,2,11,0,5,2,3
226,org_apache_activemq_MessageDispatchChannel_start,1,0,1,0,0,0,0
227,org_apache_activemq_RuntimeConfigTestSupport_applyNewConfig,1,2,15,1,1,1,1
228,org_apache_activemq_ActiveMQXAConnectionFactoryTest_assertTransactionGoneFromFailoverState,1,2,5,0,8,7,2
229,org_apache_activemq_CombinationTestSupport_setOptions,5,1,30,0,0,0,0
230,org_apache_activemq_JmsMultipleBrokersTestSupport_bridgeAllBrokers,1,3,18,2,7,3,3
231,org_apache_activemq_JmsMultipleBrokersTestSupport_createConsumer,1,2,7,3,0,0,0
232,org_apache_activemq_JmsMultipleBrokersTestSupport_bridgeBrokers,3,6,22,3,9,4,4
233,org_apache_activemq_JmsTopicRequestReplyTest_testSendAndReceive,2,0,29,2,3,1,3
234,org_apache_activemq_bugs_AMQ2512Test_createBroker,1,0,14,0,10,5,4
235,org_apache_activemq_bugs_AMQ2584ConcurrentDlqTest_openConsumer,2,1,23,0,4,2,3
236,org_apache_activemq_bugs_AMQ3145Test_createBroker,1,1,14,1,11,4,8
237,org_apache_activemq_bugs_AMQ3157Test_createConsumeDestination,1,0,3,1,1,1,1
238,org_apache_activemq_bugs_AMQ3014Test_runTest,3,2,41,0,10,5,5
239,org_apache_activemq_bugs_AMQ3157Test_createObjectName,2,1,11,0,2,1,2
240,org_apache_activemq_bugs_AMQ3529v2Test_startBroker,1,0,10,0,8,2,7
241,org_apache_activemq_bugs_AMQ3567Test_startBroker,1,0,7,0,5,2,4
242,org_apache_activemq_bugs_AMQ4157Test_startBroker,1,1,8,0,6,3,4
243,org_apache_activemq_bugs_AMQ4212Test_sendMessages,2,2,11,1,1,1,1
244,org_apache_activemq_bugs_AMQ4513Test_setup,1,0,17,0,12,6,4
245,org_apache_activemq_bugs_AMQ4582Test_simpleTest,1,0,16,0,5,1,5
246,org_apache_activemq_bugs_AMQ5035Test_getBrokerView,1,1,6,0,2,2,1
247,org_apache_activemq_bugs_AMQ5381Test_simulatePublish,1,1,4,0,2,1,2
248,org_apache_activemq_bugs_AMQ5336Test_before,1,0,8,0,5,2,4
249,org_apache_activemq_bugs_AMQ6059Test_getProxyToQueue,1,1,5,0,2,2,1
250,org_apache_activemq_bugs_AMQ6094Test_consumer,6,4,30,1,3,2,2
251,org_apache_activemq_bugs_AMQ6459Test_getBrokerView,1,1,4,0,1,1,1
252,org_apache_activemq_bugs_AMQ6599Test_after,1,0,4,0,2,1,2
253,org_apache_activemq_bugs_AMQ6133PersistJMSRedeliveryTest_getProxyToQueue,1,1,5,0,2,2,1
254,org_apache_activemq_bugs_AMQ7118Test_setupProducerConnection,1,0,6,0,4,4,1
255,org_apache_activemq_bugs_AMQ7002Test_getConsumer,1,0,13,1,6,2,3
256,org_apache_activemq_bugs_TransactionNotStartedErrorTest_startBroker,1,0,9,0,6,2,5
257,org_apache_activemq_bugs_TempStorageConfigBrokerTest_createBrokerWithValidTempStoreConfig,1,0,23,0,23,8,11
258,org_apache_activemq_camel_CamelMessageConsumer_checkClosed,2,0,5,0,0,0,0
259,org_apache_activemq_camel_JmsJdbcXATest_sendJMSMessageToKickOffRoute,1,0,12,0,4,2,3
260,org_apache_activemq_camel_component_broker_BrokerEndpoint_removeMessageInterceptor,1,1,3,0,1,1,1
261,org_apache_activemq_command_ActiveMQBlobMessage_setRemoteBlobUrl,1,1,4,0,0,0,0
262,org_apache_activemq_blob_BlobDownloadStrategy_getInputStream,1,1,1,0,0,0,0
263,org_apache_activemq_command_ActiveMQBlobMessage_isDeletedByBroker,1,0,6,0,0,0,0
264,org_apache_activemq_command_ActiveMQMapMessage_getDouble,6,1,30,1,0,0,0
265,org_apache_activemq_command_ActiveMQMessage_getFloatProperty,3,1,11,1,1,1,1
266,org_apache_activemq_command_ActiveMQMessage_setObjectProperty,1,2,25,4,2,2,1
267,org_apache_activemq_command_BrokerInfo_setConnectionId,1,1,3,0,0,0,0
268,org_apache_activemq_command_ActiveMQStreamMessage_readObject,14,0,97,1,2,2,1
269,org_apache_activemq_command_ConnectionId_compareTo,1,1,3,0,0,0,0
270,org_apache_activemq_command_ConnectionInfo_ConnectionInfo,1,1,3,0,0,0,0
271,org_apache_activemq_command_ConnectionId_toString,1,0,3,0,0,0,0
272,org_apache_activemq_command_BrokerSubscriptionInfo_BrokerSubscriptionInfo,1,0,3,0,0,0,0
273,org_apache_activemq_command_ConnectionInfo_createRemoveCommand,1,0,5,1,3,2,2
274,org_apache_activemq_command_ConsumerId_setConnectionId,1,1,3,0,0,0,0
275,org_apache_activemq_command_ConsumerControl_setFlush,1,1,6,0,0,0,0
276,org_apache_activemq_command_ConnectionInfo_isClientMaster,1,0,7,0,0,0,0
277,org_apache_activemq_command_ConnectionId_ConnectionId,1,1,3,1,3,3,1
278,org_apache_activemq_command_ConsumerInfo_createRemoveCommand,1,0,5,1,3,2,2
279,org_apache_activemq_command_JournalTopicAck_getSubscritionName,1,0,6,0,0,0,0
280,org_apache_activemq_command_JournalTransaction_setTransactionId,1,1,3,0,0,0,0
281,org_apache_activemq_command_Message_clearBody,1,0,1,0,0,0,0
282,org_apache_activemq_command_DiscoveryEvent_DiscoveryEvent,1,0,4,0,0,0,0
283,org_apache_activemq_command_Message_setReplyTo,1,1,3,0,0,0,0
284,org_apache_activemq_command_Message_getExpiration,1,0,6,0,0,0,0
285,org_apache_activemq_command_Message_setRedeliveryCounter,1,1,3,0,0,0,0
286,org_apache_activemq_command_ProducerId_ProducerId,2,1,8,4,2,1,2
