method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
78,alluxio_master_file_meta_Inode_wrap,3,1,19,0,3,3,1
79,alluxio_master_AbstractPrimarySelector_setState,1,1,2,0,1,1,1
80,alluxio_master_MasterRegistry_MasterRegistry,1,0,5,0,0,0,0
81,alluxio_master_AlluxioMasterProcess_stopServing,6,0,28,0,6,6,1
82,alluxio_master_MasterFactory_isEnabled,1,0,4,0,0,0,0
83,alluxio_master_MasterProcess_waitForReady,1,1,2,0,3,2,2
84,alluxio_master_MasterContext_getStateLockManager,1,0,6,0,0,0,0
85,alluxio_master_BackupManager_initFromBackup,9,1,6,1,4,4,1
86,alluxio_master_CoreMaster_CoreMaster,1,3,13,0,6,2,5
87,alluxio_master_LocalAlluxioJobCluster_getHostname,1,0,6,0,0,0,0
88,alluxio_metrics_Metric_getMetricNameWithUserTag,2,2,8,0,0,0,0
89,alluxio_master_LocalAlluxioMaster_getMasterProcess,1,0,6,0,0,0,0
90,alluxio_metrics_TimeSeries_getDataPoints,1,0,6,0,0,0,0
91,alluxio_metrics_MetricsSystem_getMetricValue,2,1,13,1,0,0,0
92,alluxio_metrics_MetricsSystem_getMasterMetrics,4,1,7,1,0,0,0
93,alluxio_master_LocalAlluxioJobCluster_setupTest,1,0,6,0,0,0,0
94,alluxio_resource_ResourcePool_acquire,1,0,53,2,0,0,0
95,alluxio_worker_block_BlockLockManagerTest_setMaxLocks,1,1,3,0,1,1,1
96,alluxio_worker_block_io_LocalFileBlockReader_close,2,0,14,0,1,1,1
97,alluxio_worker_block_io_LocalFileBlockWriter_append,1,1,15,3,1,1,1
98,alluxio_worker_block_io_LocalFileBlockWriter_close,2,0,9,0,1,1,1
99,alluxio_worker_block_io_LocalFileBlockWriter_LocalFileBlockWriter,1,1,9,0,0,0,0
100,alluxio_worker_block_io_LocalFileBlockReader_LocalFileBlockReader,1,1,10,0,0,0,0
101,alluxio_worker_block_io_LocalFileBlockReader_getChannel,1,0,3,0,0,0,0
102,alluxio_master_journal_JournalSystem_isEmpty,1,0,7,0,0,0,0
103,alluxio_master_journal_JournalSystem_addJournalSink,1,2,5,0,0,0,0
104,alluxio_test_util_CommonUtils_getValuesForFieldType,3,1,34,0,0,0,0
105,alluxio_cli_extensions_command_UninstallCommand_getCommandName,1,0,3,0,0,0,0
106,alluxio_test_util_ConcurrencyUtils_assertConcurrent,2,2,10,0,0,0,0
107,alluxio_worker_AlluxioWorkerProcess_getDataDomainSocketPath,2,0,6,0,1,1,1
108,alluxio_worker_JobWorkerIdRegistry_getWorkerId,1,0,7,0,0,0,0
109,alluxio_worker_JobWorker_JobWorker,1,3,9,0,7,7,1
110,alluxio_master_backup_BackupTracker_update,1,1,9,1,1,1,1
111,alluxio_master_backup_AbstractBackupRole_close,2,0,9,0,2,2,1
112,alluxio_master_file_FileSystemMasterAuditContext_setSrcPath,1,1,9,0,0,0,0
113,alluxio_master_file_UfsDeleter_delete,1,2,6,0,0,0,0
114,alluxio_yarn_ApplicationMaster_setupMasterEnvironment,1,0,3,1,0,0,0
115,alluxio_yarn_ApplicationMaster_runApplicationMaster,1,2,14,5,0,0,0
116,alluxio_yarn_ContainerAllocatorTest_testFullAllocation,2,2,12,2,1,1,1
117,alluxio_yarn_ContainerAllocatorTest_allocateFirstHostAnswer,1,1,12,0,0,0,0
118,alluxio_yarn_CommandBuilder_CommandBuilder,1,1,7,0,0,0,0
119,alluxio_yarn_ContainerAllocator_ContainerAllocator,1,6,20,1,0,0,0
120,alluxio_yarn_ContainerAllocator_getPotentialWorkerHosts,3,0,13,0,1,1,1
121,alluxio_yarn_Client_Client,1,1,11,2,0,0,0
122,alluxio_SyncInfo_isForceSync,1,0,7,0,0,0,0
123,alluxio_client_job_JobContext_getJobMasterAddress,1,0,7,0,1,1,1
124,alluxio_client_job_JobMasterClient_getJobStatus,1,1,6,0,0,0,0
125,alluxio_exception_status_AbortedException_AbortedException,1,1,7,0,3,1,3
126,alluxio_client_job_JobGrpcClientUtils_getJobStatus,2,3,16,0,5,4,2
127,alluxio_job_TestPlanConfig_TestPlanConfig,1,1,6,0,0,0,0
128,alluxio_job_JobIntegrationTest_waitForJobFailure,1,1,3,0,1,1,1
129,alluxio_job_JobIntegrationTest_before,1,0,7,0,8,6,3
130,alluxio_job_JobServerContext_getFsContext,1,0,6,0,0,0,0
